                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"MEHARRY MEDICAL COLLEGE","5R13AI049224-03","Hill, George C","Tropical Diseases Symposium","MICROBIOLOGY/IMMUN/VIROLOGY","OVERALL MEDICAL","$ 15,000","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5R24MH057067-06","Townsel, James G","Enhancement of Neuroscience Research and Training II","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 517,943","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                 
"MEHARRY MEDICAL COLLEGE","5R25GM064319-03","Lima, Maria F","Meharry/Vanderbilt PREP Initiative","NONE","OVERALL MEDICAL","$ 440,638","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5R25MH063306-03","Townsel, James G","Neuroscience Training: Meharry/ Vanderbilt Alliance","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 159,512","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                  
"MEHARRY MEDICAL COLLEGE","5R25RR017577-02","Wolff, Steven N","Clinical Research Education and Career Development in M*","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 536,319","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                        
"MEHARRY MEDICAL COLLEGE","5T32HL007735-09","Adunyah, Samuel E","MINIORTY INSTITUTIONAL RESEARCH TRAINING PROGRAM","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 127,524","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                            
"MEHARRY MEDICAL COLLEGE","5T32HL007809-09","Maleque, Mohammed A","MINORITY INSTITUTIONAL RESEARCH TRAINING PROGRAM","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 168,595","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5T32MH019843-10","Townsel, James G","NEUROSCIENCE TRAINING PROGRAM","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 50,469","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                                         
"MEHARRY MEDICAL COLLEGE","5U01HL072431-02","Cruzgervis, Roberto A","Asthma Disparities in Cohorts at Risk for Morbidity","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 569,832","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                       
"MEHARRY MEDICAL COLLEGE","5U24DE015000-02","Butler, William B","Expanding Oral Health Disparities Research at Meharry","NONE","SCHOOLS OF DENTISTRY/ORAL HYGN","$ 2","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                          
"MEHARRY MEDICAL COLLEGE","5U54CA091408-03","Adunyah, Samuel E","Comprehensive MMC/VICC Cancer Research Partnership","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 1,892,137","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                        
"MEHARRY MEDICAL COLLEGE","5U54NS041071-04","Charlton, Clivel G","SNRP PROJECT AT MEHARRY MEDICAL COLLEGE","ANATOMY/CELL BIOLOGY","SCHOOLS OF MEDICINE","$ 1,049,108","NASHVILLE","TENNESSEE","37208","  "                                                                                                                                                                                                                                                                                                          
"MIDDLE TENNESSEE STATE UNIVERSITY","1R15AI051350-01A1","Dunlap, Norma K","Peptidomimetics of D-Ala-D-Ala as Novel Antibacterials","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 110,300","MURFREESBORO","TENNESSEE","37132","  "                                                                                                                                                                                                                                                                                   
"MOLECULAR DESIGN INTERNATIONAL, INC.","1R43AR049621-01A1","Purcell, William P","NON-IRRITATING RETINOIDS FOR THE TREATMENT OF AGING","","","$ 99,000","MEMPHIS","TENNESSEE","38103","  "                                                                                                                                                                                                                                                                                                                           
"NANODELIVERY, INC.","5R43RR016124-02","Prokop, Ales ","NanobioReactor for monitoring small cell populations","","","$ 200,000","NASHVILLE","TENNESSEE","37211","  "                                                                                                                                                                                                                                                                                                                                                
"PAPER/ALLD-IND/CHEM & ENERGY WRK INT UN","3U45ES006175-13S1","Ortlieb, David W","WORKER HEALTH AND SAFETY TRAINING COOPERATIVE AGREEMENT","","","$ 514,968","NASHVILLE","TENNESSEE","37211-4123","  "                                                                                                                                                                                                                                                                                                              
"PAPER/ALLD-IND/CHEM & ENERGY WRK INT UN","5U45ES006175-13","Ortlieb, David W","WORKER HEALTH AND SAFETY TRAINING COOPERATIVE AGREEMENT","","","$ 1,246,851","NASHVILLE","TENNESSEE","37211-4123","  "                                                                                                                                                                                                                                                                                                              
"PAPER/ALLD-IND/CHEM & ENERGY WRK INT UN","5U45ES009761-13","Ortlieb, David W","WORKER H&S TRAINING FOR THE DOE NUCLEAR WEAPONS COMPLEX","","","$ 1,136,022","NASHVILLE","TENNESSEE","37211-4123","  "                                                                                                                                                                                                                                                                                                              
