                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
"FY2003 Data Effective - 29-JUN-04 Organization","Grant Number","PI Name","Project Title","NIH Department Combining Name","NIH Major Component Combining Name","Award","City","State","Zip Code","  "                                                                                                                                                                                                                                                                                                               
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1K23RR018611-01","Sagel, Scott D","Mentored Patient-Oriented Research Career Development Award","PEDIATRICS","SCHOOLS OF MEDICINE","$ 130,680","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1P01AI055356-01","Schooley, Robert T","Immunopathogenesis of Acute HIV-1 Infection","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,035,733","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                              
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1P20CA103680-01","Byers, Tim E","Colorado Program in Aging and Cancer","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 653,000","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1P30AI054907-01","Schooley, Robert T","U of Colorado Center for AIDS Research","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 1,500,001","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1P60MD000507-01","Manson, Spero M","American Indian and Alaska Native Health Disparities","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 1,158,290","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                        
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01AA013618-01A1","Jones, David N","The molecular basis of alcohol's actions","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 266,292","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01AI052164-01A1","Dreskin, Stephen C","Redefining the Major Peanut Allergens","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 153,000","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01AI052441-01A1","Boackle, Susan A","Cr2 as a Murine Lupus Susceptibility Gene","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 96,890","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01AI054839-01","Zweifach, Adam ","Calcium and Cytotoxic T Lymphocytes","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 340,056","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                           
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01AI054959-01","Vazqueztorres, Andres ","Salmonella evasion of NADPH oxidase-dependent killing","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 112,984","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                 
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01AT001006-01A2","Kutner, Jean S","Efficacy of Massage Therapy at the End of Life","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 407,698","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01CA091883-01A1","Agarwal, Chapla ","Prostate Cancer Prevention by Procyanidins in Grape Seed","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 338,201","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                     
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01CA094921-01A1","Dai, Zonghan ","AbI-Abi signaling in neoplastic hematopoiesis","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 268,179","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01CA095207-01A1","Huang, Mingxia ","Function and Regulation of DNA Damage Response Genes","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 244,216","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01CA102514-01","Agarwal, Rajesh ","Prostate cancer prevention and treatment by sillibinin","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 336,180","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DA015522-01A1","Hopfer, Christian J","A family study of substance use & conduct disorder","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 418,224","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DA016994-01","Booth, Robert E","Reducing HCV/HIV risks comparing two interventions","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 534,762","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DA017620-01","Booth, Robert E","Interventions with HIV+ and HIV- IDUs in Ukraine","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 351,459","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                              
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DC006070-01","Finger, Thomas E","Multiple Mechanisms of Nasal Chemoreception","BIOLOGY","SCHOOLS OF MEDICINE","$ 613,979","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                     
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DE014578-01A1","Weed, Scott A","Cortactin in Cell Motility and Invasion","DENTISTRY","SCHOOLS OF DENTISTRY/ORAL HYGN","$ 255,681","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                             
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DE015191-01","Spritz, Richard A","GENE DISCOVERY FOR CRANIOFACIAL DISORDERS","GENETICS","SCHOOLS OF MEDICINE","$ 372,516","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                     
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK061483-01A2","Fantuzzi, Giamila ","Role of Leptin in murine modeles of IBD","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 297,034","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK061566-01A1","Siddiqui, Aleem A","Hepatitis C Virus NS5a Protein and Oxidative Stress","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 321,481","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK061668-01A1","Eckel, Robert H","Mechanisms Defending Fat Mass in Human after Lipectomy","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 358,441","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK061933-01A1","Bain, David L","Mechanistic Studies of Progesterone Receptor Function","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 228,500","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK062155-01A1","Friedman, Jacob E","Mechanisms of Insulin Resistance in GDM","PEDIATRICS","SCHOOLS OF MEDICINE","$ 335,134","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK062209-01A1","Levi, Moshe ","Renal Lipid Metabolism in Diabetic Nephropathy","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 270,585","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK062874-01A1","Bessesen, Daniel H","Effects of Overfeeding on OP and OR Women","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 255,750","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK063674-01A1","Anderson, Steven M","Regulation of Akt and glucose transport by prolactin","PATHOLOGY","SCHOOLS OF MEDICINE","$ 279,656","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK064146-01","Sussel, Lori G","The role of Gata 4 in exocrine pancreas development","PEDIATRICS","SCHOOLS OF MEDICINE","$ 259,223","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK065094-01","Christians, Uwe ","Effects of Immunosuppressants on Cell Metabolism","ANESTHESIOLOGY","SCHOOLS OF MEDICINE","$ 327,721","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01DK066520-01","Kosmiski, Lisa A","The effects of HIV-1  proteins on adipocyte biology","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 262,613","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01GM063873-01A2","Bentley, David L","Elongation and Termination of Transcripts by RNA Pol II","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 230,265","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01GM065192-01A2","Mchenry, Charles S","DNA Replication in Bacillus subtilis","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 297,592","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HD042760-01A1","Spicer, Paul G","Poverty, stress, and American Indian child development","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 450,507","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HD043770-01","Schenkman, Margaret L","Exercise, Physical Function, and Parkinson's Disease","PHYSICAL MEDICINE & REHAB","SCHOOLS OF MEDICINE","$ 343,126","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                     
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HD045224-01","Crnic, Linda S","Genetics, Neurobiology, and Cognition in Down Syndrome","PEDIATRICS","SCHOOLS OF MEDICINE","$ 246,096","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HD047029-01","Crnic, Linda S","Attentional Dysfunction in Fragile X Syndrome","PEDIATRICS","SCHOOLS OF MEDICINE","$ 196,829","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HL066328-01A1","Fagan, Karen A","Pulmonary Hypertension following Intermittent Hypoxia","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 283,392","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                        
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HL068606-01A2","Greyson, Clifford R","Right Ventricular Dysfunction After Pressure Overload","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 311,880","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                   
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HL071596-01A1","Rodman, David M","Effects of BMPRII Mutations in Pulmonary Hypertension","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 482,369","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                       
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HL071805-01","Christians, Uwe ","Statin Lactones in Statin Toxicity","ANESTHESIOLOGY","SCHOOLS OF MEDICINE","$ 339,074","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HL071990-01A1","Galan, Henry L","Fetal and Neonatal Hemodynamics in IUGR Pregnancies","OBSTETRICS & GYNECOLOGY","SCHOOLS OF MEDICINE","$ 382,916","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                             
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01HL073824-01","Manson, Spero M","Wounded Spirits, Ailing Hearts: PTSD and CVD in Indians","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 878,045","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01MH063690-01A2","Bull, Sheana S","HIV/STD Prevention for Young Adults Online","FAMILY MEDICINE","SCHOOLS OF MEDICINE","$ 380,000","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                              
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01MH065588-01A1","Olincy, Ann ","The Genetics of Endophenotypes and Schizophrenia","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 442,472","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                               
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R01NS044299-01A1","Grigsby, James P","Action tremor & dementia in male carriers of fragile X","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 579,952","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                     
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R03DK063177-01","Nicolls, Mark R","Mechanisms of Allograft Tolerance","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 71,094","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                              
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R03DK065060-01","Woodmansee, Whitney W","Regulation of Mouse Somatostatin Receptor Subtype 5","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 76,500","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R03NR008496-01","Clark, Lauren ","Cultural Aspects of Latino Early Childhood Obesity","NONE","SCHOOLS OF NURSING","$ 76,583","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                     
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R18DK064997-01","Marshall, Julie A","Family-Based Prevention of Diabetes & Its Complications","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 583,248","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                  
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21AA014010-01","Beresford, Thomas P","Hippocampus /Pituitary Ratio and Alcohol Dependence","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 124,830","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                       
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21AI054192-01","Wilson, Cara C","Interactions Between Recombinant Yeast and Blood DCs","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 228,250","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                           
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21AI058833-01","Selitrennikoff, Claude P","How is Cryptococcus resistant ot echinocandins?","BIOLOGY","SCHOOLS OF MEDICINE","$ 182,165","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21AI060349-01","Gill, Ronald G","Correcting dysregulated peripheral tolerance in NOD mice","NONE","SCHOOLS OF MEDICINE","$ 229,750","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                             
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21CA101716-01","Eckhardt, S Gail","Overcoming Age-Dependent Barriers to Early Phase Trials","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 433,351","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21DK062820-01","Scheinman, Robert I","Molecular Dissection of Immunoregulatory Function","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 152,666","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                           
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21DK063299-01","Degregori, James V","Noncell autonomous control of Beta islet cells","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 114,626","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                           
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21MH067618-01","Taussig, Heather N","Intervention Development and Pilot for Foster Care Youth","PEDIATRICS","SCHOOLS OF MEDICINE","$ 157,500","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                   
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21NS046463-01","Kruse, Carol A","ImmunoResistant Brain Tumor Models","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 177,534","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                            
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R21TW006729-01","Hambidge, K Michael","Zinc Nutrition and Brain Development in Southern Ethiopia","PEDIATRICS","SCHOOLS OF MEDICINE","$ 139,750","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1R24DE015451-01","Quissell, David O","U. Colorado Dental School Research Improvement Plan","DENTISTRY","SCHOOLS OF DENTISTRY/ORAL HYGN","$ 131,847","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1S10RR017814-01","Hodges, Robert S","LC/MS/MS Purchase","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 284,315","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1S10RR017988-01","Betz, William J","Laser Scanning Confocal Microscope/Multicolor Spectra","PHYSIOLOGY","SCHOOLS OF MEDICINE","$ 380,490","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1S10RR018001-01","Churchill, Mair E","X-ray area detector system for structural biology","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 175,000","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1U01AA014101-01","Hoffman, Paula L","Glutamate Receptors in Excessive Ethanol Drinking","PHARMACOLOGY","SCHOOLS OF MEDICINE","$ 269,576","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1U01CA099176-01","Eckhardt, S Gail","Phase I Trials of Anticancer Agents","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 115,000","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","1U01DK063821-01","Rewers, Marian J","Environmental Causes of Type 1 Diabetes","PEDIATRICS","SCHOOLS OF MEDICINE","$ 1,000,000","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2P01HL014985-31","Mcmurtry, Ivan F","Adaptations to Hypoxia","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 2,132,204","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                     
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2P30HD004024-35","Crnic, Linda S","MRDD Research Center","PEDIATRICS","SCHOOLS OF MEDICINE","$ 1,018,154","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2P50CA058187-09","Bunn, Paul A","SPORE in Lung Cancer","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 2,240,006","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                           
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2P60DA011015-06A1","Crowley, Thomas J","Antisocial Drug Dependence: Genetics","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 1,758,975","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01AG009834-11A1","Stabler, Sally P","B12 Nutrition in the Aged","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 265,710","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01AI015614-26","Dinarello, Charles A","Pathogenesis of Fever in Humans","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 373,760","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01AI015940-24A1","Vasil, Michael L","Iron and O2 in the Regulation of P. aeruginosa Virulence","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 246,148","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                  
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01AI020519-19","Cambier, John C","Molecular Biology of B Cell Tolerance and Activation","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 342,750","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                         
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01AI025231-16","Holmes, Kathryn V","MOLECULAR GENETICS OF THE RECEPTOR FOR MVH","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 331,772","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                 
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01AR026427-21","Norris, David A","Cytotoxic Mechanisms in Cutaneous Disease","DERMATOLOGY","SCHOOLS OF MEDICINE","$ 367,007","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                                    
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01CA037667-19A1","Garcea, Robert L","Mechanisms in Polyoma and Papillomavirus Assembly","PEDIATRICS","SCHOOLS OF MEDICINE","$ 359,550","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01CA041248-17","Thompson, John A","Bioactivation of Dietary Phenols by Hemoproteins","OTHER HEALTH PROFESSIONS","SCHOOLS OF PHARMACY","$ 285,801","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                               
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01CA068099-05A1","Ahnen, Dennis J","Promoting Colon Cancer Screening in High-Risk Families","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 635,956","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01CA074592-05A2","Crane, Lori A","Skin Cancer Prevention in a Pediatric Population","PUBLIC HEALTH & PREV MEDICINE","SCHOOLS OF MEDICINE","$ 601,762","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                           
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01CA076035-05A1","Drabkin, Harry A","Molecular-Genetic Analysis of 3p14 Genomic Stability","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 322,891","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                       
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01CA077314-06","Degregori, James V","Regulation of the Lymphocytic cell cycle by E2F","BIOCHEMISTRY","SCHOOLS OF MEDICINE","$ 247,744","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                          
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01DC000147-24A2","Finger, Thomas E","Brainstem Gustatory Nuclei- Circuits & Neurotransmitters","BIOLOGY","SCHOOLS OF MEDICINE","$ 319,676","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01DK033470-19","Gill, Ronald G","Reversal of Diabetes by Islet Transplantation","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 281,055","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                  
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01DK036843-17","Ridgway, E Chester","Thyrotropin Beta Subunit Gene Transcription Factors","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 393,584","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                        
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01DK043278-14","Fitz, John G","Mechanisms of Hepatic Electrolyte Transport","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 336,600","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                      
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01DK045773-11","Gill, Ronald G","Immunobiology of Pancreatic Islet Xenografting","MICROBIOLOGY/IMMUN/VIROLOGY","SCHOOLS OF MEDICINE","$ 200,640","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                                
"UNIVERSITY OF COLORADO HLTH SCIENCES CTR","2R01DK046868-10","Gutierrezhartmann, Arthur ","Pituitary Specific Oncogene Signaling Mechanisms","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 354,845","AURORA","COLORADO","80045-0508","  "                                                                                                                                                                                                                                                                   
